Size/Diameter,Cut Angle,Cut Axis,Grade,Thickness,Polishing,Flat,PN,Cost,Shear Constant
2 Inch          ,        ,X-Cut   ,Optical grade       ,0.31mm      ,both side polished              ,                    ,POLN-110112     ,$52.00,8.07E-11
1 Inch          ,        ,X-Cut   ,Optical grade       ,0.3mm       ,both side polished              ,                    ,POLN-16J002     ,$56.00,8.07E-11
10.0mm ,41°     ,X-Cut   ,SAW grade           ,0.37mm      ,both side polished              ,no primary flat     ,PWLN-8BI462     ,$42.00,7.28E-11
13.9mm ,41°     ,X-Cut   ,SAW grade           ,0.37mm      ,both side polished              ,no primary flat     ,PWLN-8CI462     ,$48.00,7.28E-11
25X20mm         ,        ,Y-Cut   ,SAW grade           ,0.1mm       ,both side polished              ,                    ,PWLN-2R7522     ,$62.00,6.92E-11
4 Inch          ,        ,Y-Cut   ,SAW grade           ,0.25mm      ,single side polished            ,                    ,PWLN-236131     ,$68.00,6.92E-11
6 Inch          ,        ,Y-Cut   ,SAW grade           ,0.3mm       ,both side polished              ,                    ,PWLN-25J142     ,$350.00,6.92E-11
25X25mm         ,128°    ,Y-Cut   ,SAW grade           ,0.15mm      ,both side polished              ,                    ,PWLN-4RH572     ,$50.00,7.36E-12
2 Inch          ,128°    ,Y-Cut   ,SAW grade           ,0.25mm      ,double side polished            ,                    ,PWLN-416212     ,$56.00,7.36E-12
3 Inch          ,128°    ,Y-Cut   ,SAW grade           ,0.25mm      ,both side polished              ,                    ,PWLN-426222     ,$82.00,7.36E-12
6 Inch          ,128°    ,Y-Cut   ,SAW grade           ,0.3mm       ,both side polished              ,                    ,PWLN-45J242     ,$290.00,7.36E-12
12.0X15.0mm     ,36°     ,Y-Cut   ,SAW grade           ,0.1mm       ,ground surfaces for both sides  ,                    ,PWLN-7R7663     ,$50.00,5.13E-12
3 Inch          ,36°     ,Y-Cut   ,SAW grade           ,0.25mm      ,Both side polished              ,                    ,PWLN-726222     ,$92.00,5.13E-12
3 Inch          ,41°     ,Y-Cut   ,SAW grade           ,0.175mm     ,Single side polished            ,                    ,PWLN-620221     ,$108.00,3.83E-12
4.46mm in       ,        ,Z-Cut   ,Optical grade       ,0.05mm      ,both side polished              ,no primary flat     ,POLN-3A8462     ,$32.00,0.00E+00
4.46mm in       ,        ,Z-Cut   ,Optical grade       ,0.10mm      ,both side polished              ,no primary flat     ,POLN-3A7462     ,$28.00,0.00E+00
5mm in          ,        ,Z-Cut   ,Optical grade       ,0.17mm      ,both side polished              ,no primary flat     ,POLN-30A462     ,$25.00,0.00E+00
2 Inch          ,        ,Z-Cut   ,Optical grade       ,0.25mm      ,both side polished              ,                    ,POLN-316312     ,$52.00,0.00E+00
3mm in          ,        ,Z-Cut   ,Optical grade       ,0.3mm       ,both side polished              ,no primary flat     ,POLN-3FJ462     ,$20.00,0.00E+00
5mm in          ,        ,Z-Cut   ,Optical grade       ,0.3mm       ,both side polished              ,no primary flat     ,POLN-30J462     ,$20.00,0.00E+00
